------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:05:27 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.avg_pkt_size                          | Total                     | 1012
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 56
flow.total                                    | Total                     | 170
flow.active                                   | Total                     | 95
flow.tcp                                      | Total                     | 95
flow.udp                                      | Total                     | 75
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 26
flow.wrk.flows_evicted_pkt_inject             | Total                     | 33
flow.wrk.flows_injected                       | Total                     | 26
tcp.sessions                                  | Total                     | 95
tcp.ssn_from_cache                            | Total                     | 9
tcp.ssn_from_pool                             | Total                     | 86
tcp.segment_from_cache                        | Total                     | 5115
tcp.segment_from_pool                         | Total                     | 369
tcp.stream_depth_reached                      | Total                     | 3
tcp.overlap                                   | Total                     | 15
detect.alert                                  | Total                     | 64
app_layer.flow.http                           | Total                     | 21
app_layer.tx.http                             | Total                     | 41
app_layer.flow.tls                            | Total                     | 72
app_layer.error.tls.parser                    | Total                     | 3
app_layer.flow.quic                           | Total                     | 1
app_layer.tx.quic                             | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 74
app_layer.tx.dns_udp                          | Total                     | 222
flow.end.state.new                            | Total                     | 36
flow.end.state.closed                         | Total                     | 39
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 38
flow.mgr.full_hash_pass                       | Total                     | 30
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9049
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 286
flow.mgr.flows_notimeout                      | Total                     | 211
flow.mgr.flows_timeout                        | Total                     | 75
flow.mgr.flows_evicted                        | Total                     | 75
flow.mgr.flows_evicted_needs_work             | Total                     | 26
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 49
flow.recycler.queue_max                       | Total                     | 2
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1742848
http.memuse                                   | Total                     | 784
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:10:40 (uptime: 0d, 00h 05m 21s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 20948
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 52578
capture.afpacket.poll_timeout                 | Total                     | 29443
capture.afpacket.poll_data                    | Total                     | 23135
decoder.pkts                                  | Total                     | 20955
decoder.bytes                                 | Total                     | 21482627
decoder.ipv4                                  | Total                     | 20955
decoder.ethernet                              | Total                     | 20955
decoder.tcp                                   | Total                     | 20645
tcp.syn                                       | Total                     | 106
tcp.synack                                    | Total                     | 97
tcp.rst                                       | Total                     | 117
decoder.udp                                   | Total                     | 257
decoder.icmpv4                                | Total                     | 53
decoder.avg_pkt_size                          | Total                     | 1025
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 57
flow.total                                    | Total                     | 175
flow.active                                   | Total                     | 95
flow.tcp                                      | Total                     | 97
flow.udp                                      | Total                     | 78
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 27
flow.wrk.flows_evicted_pkt_inject             | Total                     | 34
flow.wrk.flows_injected                       | Total                     | 27
tcp.sessions                                  | Total                     | 97
tcp.ssn_from_cache                            | Total                     | 10
tcp.ssn_from_pool                             | Total                     | 87
tcp.segment_from_cache                        | Total                     | 5691
tcp.segment_from_pool                         | Total                     | 383
tcp.stream_depth_reached                      | Total                     | 4
tcp.overlap                                   | Total                     | 15
detect.alert                                  | Total                     | 66
app_layer.flow.http                           | Total                     | 21
app_layer.tx.http                             | Total                     | 41
app_layer.flow.tls                            | Total                     | 74
app_layer.error.tls.parser                    | Total                     | 3
app_layer.flow.quic                           | Total                     | 2
app_layer.tx.quic                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 76
app_layer.tx.dns_udp                          | Total                     | 228
flow.end.state.new                            | Total                     | 37
flow.end.state.established                    | Total                     | 3
flow.end.state.closed                         | Total                     | 40
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 39
flow.mgr.full_hash_pass                       | Total                     | 31
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9052
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 295
flow.mgr.flows_notimeout                      | Total                     | 215
flow.mgr.flows_timeout                        | Total                     | 80
flow.mgr.flows_evicted                        | Total                     | 80
flow.mgr.flows_evicted_needs_work             | Total                     | 27
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 53
flow.recycler.queue_max                       | Total                     | 2
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1691648
http.memuse                                   | Total                     | 784
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:10:48 (uptime: 0d, 00h 05m 29s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 20976
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 53471
capture.afpacket.poll_timeout                 | Total                     | 30319
capture.afpacket.poll_data                    | Total                     | 23152
decoder.pkts                                  | Total                     | 20976
decoder.bytes                                 | Total                     | 21483941
decoder.ipv4                                  | Total                     | 20976
decoder.ethernet                              | Total                     | 20976
decoder.tcp                                   | Total                     | 20666
tcp.syn                                       | Total                     | 106
tcp.synack                                    | Total                     | 97
tcp.rst                                       | Total                     | 117
decoder.udp                                   | Total                     | 257
decoder.icmpv4                                | Total                     | 53
decoder.avg_pkt_size                          | Total                     | 1024
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 48
flow.total                                    | Total                     | 175
flow.active                                   | Total                     | 80
flow.tcp                                      | Total                     | 97
flow.udp                                      | Total                     | 78
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 35
flow.wrk.flows_evicted_pkt_inject             | Total                     | 47
flow.wrk.flows_injected                       | Total                     | 35
tcp.sessions                                  | Total                     | 97
tcp.ssn_from_cache                            | Total                     | 10
tcp.ssn_from_pool                             | Total                     | 87
tcp.segment_from_cache                        | Total                     | 5695
tcp.segment_from_pool                         | Total                     | 383
tcp.stream_depth_reached                      | Total                     | 4
tcp.overlap                                   | Total                     | 15
detect.alert                                  | Total                     | 66
app_layer.flow.http                           | Total                     | 21
app_layer.tx.http                             | Total                     | 41
app_layer.flow.tls                            | Total                     | 74
app_layer.error.tls.parser                    | Total                     | 3
app_layer.flow.quic                           | Total                     | 2
app_layer.tx.quic                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 76
app_layer.tx.dns_udp                          | Total                     | 228
flow.end.state.new                            | Total                     | 37
flow.end.state.established                    | Total                     | 9
flow.end.state.closed                         | Total                     | 49
flow.end.tcp_state.last_ack                   | Total                     | 1
flow.end.tcp_state.closed                     | Total                     | 48
flow.mgr.full_hash_pass                       | Total                     | 32
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9060
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 313
flow.mgr.flows_notimeout                      | Total                     | 221
flow.mgr.flows_timeout                        | Total                     | 92
flow.mgr.flows_evicted                        | Total                     | 92
flow.mgr.flows_evicted_needs_work             | Total                     | 32
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 60
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1636352
http.memuse                                   | Total                     | 672
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:10:56 (uptime: 0d, 00h 05m 37s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 21105
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 54095
capture.afpacket.poll_timeout                 | Total                     | 30890
capture.afpacket.poll_data                    | Total                     | 23205
decoder.pkts                                  | Total                     | 21115
decoder.bytes                                 | Total                     | 21569924
decoder.ipv4                                  | Total                     | 21115
decoder.ethernet                              | Total                     | 21115
decoder.tcp                                   | Total                     | 20801
tcp.syn                                       | Total                     | 108
tcp.synack                                    | Total                     | 99
tcp.rst                                       | Total                     | 118
decoder.udp                                   | Total                     | 260
decoder.icmpv4                                | Total                     | 54
decoder.avg_pkt_size                          | Total                     | 1021
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 38
flow.total                                    | Total                     | 179
flow.active                                   | Total                     | 72
flow.tcp                                      | Total                     | 99
flow.udp                                      | Total                     | 80
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 44
flow.wrk.flows_evicted_pkt_inject             | Total                     | 58
flow.wrk.flows_injected                       | Total                     | 44
tcp.sessions                                  | Total                     | 99
tcp.ssn_from_cache                            | Total                     | 12
tcp.ssn_from_pool                             | Total                     | 87
tcp.segment_from_cache                        | Total                     | 5772
tcp.segment_from_pool                         | Total                     | 383
tcp.stream_depth_reached                      | Total                     | 4
tcp.overlap                                   | Total                     | 15
detect.alert                                  | Total                     | 66
app_layer.flow.http                           | Total                     | 21
app_layer.tx.http                             | Total                     | 41
app_layer.flow.tls                            | Total                     | 75
app_layer.error.tls.parser                    | Total                     | 3
app_layer.flow.quic                           | Total                     | 2
app_layer.tx.quic                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 78
app_layer.tx.dns_udp                          | Total                     | 231
flow.end.state.new                            | Total                     | 37
flow.end.state.established                    | Total                     | 9
flow.end.state.closed                         | Total                     | 61
flow.end.tcp_state.last_ack                   | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 59
flow.mgr.full_hash_pass                       | Total                     | 33
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9063
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 331
flow.mgr.flows_notimeout                      | Total                     | 224
flow.mgr.flows_timeout                        | Total                     | 107
flow.mgr.flows_evicted                        | Total                     | 107
flow.mgr.flows_evicted_needs_work             | Total                     | 44
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 63
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1589248
http.memuse                                   | Total                     | 672
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:11:04 (uptime: 0d, 00h 05m 45s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 21159
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 54997
capture.afpacket.poll_timeout                 | Total                     | 31762
capture.afpacket.poll_data                    | Total                     | 23235
decoder.pkts                                  | Total                     | 21159
decoder.bytes                                 | Total                     | 21573534
decoder.ipv4                                  | Total                     | 21159
decoder.ethernet                              | Total                     | 21159
decoder.tcp                                   | Total                     | 20838
tcp.syn                                       | Total                     | 109
tcp.synack                                    | Total                     | 100
tcp.rst                                       | Total                     | 118
decoder.udp                                   | Total                     | 266
decoder.icmpv4                                | Total                     | 55
decoder.avg_pkt_size                          | Total                     | 1019
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 34
flow.total                                    | Total                     | 182
flow.active                                   | Total                     | 68
flow.tcp                                      | Total                     | 100
flow.udp                                      | Total                     | 82
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 48
flow.wrk.flows_evicted_pkt_inject             | Total                     | 62
flow.wrk.flows_injected                       | Total                     | 48
tcp.sessions                                  | Total                     | 100
tcp.ssn_from_cache                            | Total                     | 13
tcp.ssn_from_pool                             | Total                     | 87
tcp.segment_from_cache                        | Total                     | 5786
tcp.segment_from_pool                         | Total                     | 383
tcp.stream_depth_reached                      | Total                     | 4
tcp.overlap                                   | Total                     | 15
detect.alert                                  | Total                     | 67
app_layer.flow.http                           | Total                     | 22
app_layer.tx.http                             | Total                     | 42
app_layer.flow.tls                            | Total                     | 75
app_layer.error.tls.parser                    | Total                     | 5
app_layer.flow.quic                           | Total                     | 2
app_layer.tx.quic                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 80
app_layer.tx.dns_udp                          | Total                     | 237
flow.end.state.new                            | Total                     | 37
flow.end.state.established                    | Total                     | 11
flow.end.state.closed                         | Total                     | 66
flow.end.tcp_state.last_ack                   | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 64
flow.mgr.full_hash_pass                       | Total                     | 34
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9065
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 344
flow.mgr.flows_notimeout                      | Total                     | 230
flow.mgr.flows_timeout                        | Total                     | 114
flow.mgr.flows_evicted                        | Total                     | 114
flow.mgr.flows_evicted_needs_work             | Total                     | 48
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 66
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1505280
http.memuse                                   | Total                     | 672
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:11:12 (uptime: 0d, 00h 05m 53s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 21314
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 55913
capture.afpacket.poll_timeout                 | Total                     | 32620
capture.afpacket.poll_data                    | Total                     | 23293
decoder.pkts                                  | Total                     | 21314
decoder.bytes                                 | Total                     | 21658416
decoder.ipv4                                  | Total                     | 21314
decoder.ethernet                              | Total                     | 21314
decoder.tcp                                   | Total                     | 20993
tcp.syn                                       | Total                     | 110
tcp.synack                                    | Total                     | 101
tcp.rst                                       | Total                     | 123
decoder.udp                                   | Total                     | 266
decoder.icmpv4                                | Total                     | 55
decoder.avg_pkt_size                          | Total                     | 1016
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 31
flow.total                                    | Total                     | 183
flow.active                                   | Total                     | 64
flow.tcp                                      | Total                     | 101
flow.udp                                      | Total                     | 82
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 52
flow.wrk.flows_evicted_pkt_inject             | Total                     | 66
flow.wrk.flows_injected                       | Total                     | 52
tcp.sessions                                  | Total                     | 101
tcp.ssn_from_cache                            | Total                     | 14
tcp.ssn_from_pool                             | Total                     | 87
tcp.segment_from_cache                        | Total                     | 5865
tcp.segment_from_pool                         | Total                     | 383
tcp.stream_depth_reached                      | Total                     | 4
tcp.overlap                                   | Total                     | 15
detect.alert                                  | Total                     | 67
app_layer.flow.http                           | Total                     | 22
app_layer.tx.http                             | Total                     | 42
app_layer.flow.tls                            | Total                     | 76
app_layer.error.tls.parser                    | Total                     | 5
app_layer.flow.quic                           | Total                     | 2
app_layer.tx.quic                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 80
app_layer.tx.dns_udp                          | Total                     | 237
flow.end.state.new                            | Total                     | 38
flow.end.state.established                    | Total                     | 11
flow.end.state.closed                         | Total                     | 70
flow.end.tcp_state.last_ack                   | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 68
flow.mgr.full_hash_pass                       | Total                     | 34
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9067
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 350
flow.mgr.flows_notimeout                      | Total                     | 233
flow.mgr.flows_timeout                        | Total                     | 117
flow.mgr.flows_evicted                        | Total                     | 117
flow.mgr.flows_evicted_needs_work             | Total                     | 50
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 67
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1495040
http.memuse                                   | Total                     | 672
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:11:20 (uptime: 0d, 00h 06m 01s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 21385
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 56518
capture.afpacket.poll_timeout                 | Total                     | 33192
capture.afpacket.poll_data                    | Total                     | 23326
decoder.pkts                                  | Total                     | 21385
decoder.bytes                                 | Total                     | 21674366
decoder.ipv4                                  | Total                     | 21385
decoder.ethernet                              | Total                     | 21385
decoder.tcp                                   | Total                     | 21057
tcp.syn                                       | Total                     | 111
tcp.synack                                    | Total                     | 102
tcp.rst                                       | Total                     | 128
decoder.udp                                   | Total                     | 272
decoder.icmpv4                                | Total                     | 56
decoder.avg_pkt_size                          | Total                     | 1013
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 30
flow.total                                    | Total                     | 186
flow.active                                   | Total                     | 64
flow.tcp                                      | Total                     | 102
flow.udp                                      | Total                     | 84
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 54
flow.wrk.flows_evicted_pkt_inject             | Total                     | 68
flow.wrk.flows_injected                       | Total                     | 54
tcp.sessions                                  | Total                     | 102
tcp.ssn_from_cache                            | Total                     | 15
tcp.ssn_from_pool                             | Total                     | 87
tcp.segment_from_cache                        | Total                     | 5883
tcp.segment_from_pool                         | Total                     | 383
tcp.stream_depth_reached                      | Total                     | 4
tcp.overlap                                   | Total                     | 15
detect.alert                                  | Total                     | 68
app_layer.flow.http                           | Total                     | 22
app_layer.tx.http                             | Total                     | 42
app_layer.flow.tls                            | Total                     | 77
app_layer.error.tls.parser                    | Total                     | 6
app_layer.flow.quic                           | Total                     | 2
app_layer.tx.quic                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 82
app_layer.tx.dns_udp                          | Total                     | 243
flow.end.state.new                            | Total                     | 38
flow.end.state.established                    | Total                     | 12
flow.end.state.closed                         | Total                     | 72
flow.end.tcp_state.last_ack                   | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 70
flow.mgr.full_hash_pass                       | Total                     | 35
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9068
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 358
flow.mgr.flows_notimeout                      | Total                     | 236
flow.mgr.flows_timeout                        | Total                     | 122
flow.mgr.flows_evicted                        | Total                     | 122
flow.mgr.flows_evicted_needs_work             | Total                     | 54
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 68
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1419264
http.memuse                                   | Total                     | 672
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:11:28 (uptime: 0d, 00h 06m 09s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 21556
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 57435
capture.afpacket.poll_timeout                 | Total                     | 34017
capture.afpacket.poll_data                    | Total                     | 23418
decoder.pkts                                  | Total                     | 21556
decoder.bytes                                 | Total                     | 21691543
decoder.ipv4                                  | Total                     | 21556
decoder.ethernet                              | Total                     | 21556
decoder.tcp                                   | Total                     | 21228
tcp.syn                                       | Total                     | 111
tcp.synack                                    | Total                     | 102
tcp.rst                                       | Total                     | 173
decoder.udp                                   | Total                     | 272
decoder.icmpv4                                | Total                     | 56
decoder.avg_pkt_size                          | Total                     | 1006
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 30
flow.total                                    | Total                     | 186
flow.active                                   | Total                     | 63
flow.tcp                                      | Total                     | 102
flow.udp                                      | Total                     | 84
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 10
flow.wrk.flows_evicted_needs_work             | Total                     | 54
flow.wrk.flows_evicted_pkt_inject             | Total                     | 68
flow.wrk.flows_injected                       | Total                     | 54
tcp.sessions                                  | Total                     | 102
tcp.ssn_from_cache                            | Total                     | 15
tcp.ssn_from_pool                             | Total                     | 87
tcp.segment_from_cache                        | Total                     | 5919
tcp.segment_from_pool                         | Total                     | 383
tcp.stream_depth_reached                      | Total                     | 4
tcp.overlap                                   | Total                     | 15
detect.alert                                  | Total                     | 68
app_layer.flow.http                           | Total                     | 22
app_layer.tx.http                             | Total                     | 42
app_layer.flow.tls                            | Total                     | 77
app_layer.error.tls.parser                    | Total                     | 6
app_layer.flow.quic                           | Total                     | 2
app_layer.tx.quic                             | Total                     | 4
app_layer.flow.dns_udp                        | Total                     | 82
app_layer.tx.dns_udp                          | Total                     | 243
flow.end.state.new                            | Total                     | 39
flow.end.state.established                    | Total                     | 12
flow.end.state.closed                         | Total                     | 72
flow.end.tcp_state.last_ack                   | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 70
flow.mgr.full_hash_pass                       | Total                     | 36
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9069
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 369
flow.mgr.flows_notimeout                      | Total                     | 246
flow.mgr.flows_timeout                        | Total                     | 123
flow.mgr.flows_evicted                        | Total                     | 123
flow.mgr.flows_evicted_needs_work             | Total                     | 54
memcap_pressure                               | Total                     | 9
memcap_pressure_max                           | Total                     | 9
flow.recycler.recycled                        | Total                     | 69
flow.recycler.queue_max                       | Total                     | 3
tcp.memuse                                    | Total                     | 6062080
tcp.reassembly_memuse                         | Total                     | 1419264
http.memuse                                   | Total                     | 672
flow.memuse                                   | Total                     | 7234304
------------------------------------------------------------------------------------
Date: 6/19/2024 -- 09:11:36 (uptime: 0d, 00h 06m 17s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 21556
capture.afpacket.busy_loop_avg                | Total                     | 1
capture.afpacket.polls                        | Total                     | 58294
capture.afpacket.poll_timeout                 | Total                     | 34876
capture.afpacket.poll_data                    | Total                     | 23418
decoder.pkts                                  | Total                     | 21556
decoder.bytes                                 | Total                     | 21691543
decoder.ipv4                                  | Total                     | 21556
decoder.ethernet                              | Total                     | 21556
decoder.tcp                                   | Total                     | 21228
tcp.syn                                       | Total                     | 111
tcp.synack                                    | Total                     | 102
tcp.rst                                       | Total                     | 173
decoder.udp                                   | Total                     | 272
decoder.icmpv4                                | Total                     | 56
decoder.avg_pkt_size                          | Total                     | 1006
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 30
flow.total                                    | Total                     | 186
flow.active                                   | Total                     | 61
flow.tcp                                      | Total                     | 102
